851.45mm -48.93mm 2694.68mm
796.76mm -66.71mm 1481.61mm
797.85mm -66.13mm 1482.6mm
798.85mm -65.82mm 1483.5mm
800.42mm -65.45mm 1482.55mm
802.21mm -65.5mm 1482.56mm
804.89mm -65.02mm 1484.17mm
805.31mm -64.35mm 1484.05mm
805.93mm -63.6mm 1483.64mm
807.22mm -63.03mm 1484.15mm
809.11mm -62.31mm 1486.3mm
809.61mm -62.29mm 1487.03mm
810.33mm -62.72mm 1487.62mm
811.2mm -62.37mm 1488.39mm
812.57mm -61.23mm 1488.08mm
813.49mm -60.83mm 1487.85mm
814.84mm -60.26mm 1488.54mm
815.93mm -59.74mm 1489.17mm
817.56mm -59.14mm 1489.89mm
818.57mm -59.03mm 1490.29mm
820.12mm -58.34mm 1491.64mm
821.48mm -57.77mm 1492.83mm
823.51mm -57.3mm 1493.5mm
824.09mm -56.39mm 1493.28mm
824.94mm -54.84mm 1493.79mm
826.44mm -54.29mm 1494.92mm
828.65mm -53.94mm 1496.07mm
829.21mm -53.24mm 1496.04mm
830.07mm -51.44mm 1497.5mm
831.42mm -50.81mm 1499.13mm
833.38mm -50.96mm 1500.8mm
834.66mm -51.07mm 1501.88mm
836.67mm -49.99mm 1504.33mm
837.68mm -48.64mm 1505.7mm
839.17mm -47.62mm 1506.06mm
840.89mm -47.84mm 1506.89mm
843.56mm -46.91mm 1509.81mm
844.6mm -45.54mm 1511.13mm
846.09mm -44.76mm 1510.68mm
846.79mm -44.43mm 1510.1mm
847.85mm -43.45mm 1511.83mm
848.85mm -42.66mm 1513.25mm
850.33mm -41.87mm 1514.33mm
852.19mm -40.96mm 1515.84mm
855.01mm -39.31mm 1519.07mm
856.28mm -38.85mm 1520.65mm
858.2mm -37.92mm 1522.91mm
859.5mm -37.05mm 1524.43mm
861.43mm -36.12mm 1526.34mm
862.72mm -35.7mm 1527.62mm
864.68mm -34.92mm 1529.06mm
865.31mm -33.47mm 1529.47mm
866.27mm -31.13mm 1530.21mm
867.6mm -30.68mm 1531.25mm
869.61mm -29.91mm 1533.16mm
870.62mm -29.11mm 1534.17mm
872.13mm -28.04mm 1534.22mm
873.43mm -27.38mm 1534.52mm
875.41mm -26.18mm 1535.9mm
876.75mm -26mm 1536.81mm
878.76mm -25.56mm 1536.31mm
879.75mm -24.27mm 1535.71mm
881.24mm -23.14mm 1538.27mm
882.61mm -22.77mm 1540.28mm
884.68mm -21.07mm 1539.97mm
885.68mm -19.44mm 1539.45mm
887.12mm -18.25mm 1539.4mm
888.06mm -17.97mm 1539.33mm
889.54mm -16.56mm 1539.79mm
